,product_id,product_name,product_name_en
0,79877543,大白兔 上海冠生园奶糖散装喜糖结婚庆年货糖果500g 约95个怀旧零食品儿童小吃,White rabbit Shanghai Guan Sheng Yuan milk candy in bulk marry candy 500g about 95 nostalgic zero food snacks for children
1,96514296,日本北海道进口royce生巧克力圣诞节情人节礼物巧克力礼盒装 纯黑苦【现货当天发】,Japan Hokkaido imported royce raw chocolate Christmas Valentine's Day gift chocolate gift box pure black bitter [Spot day hair]
2,79848693,【哈肉联】风干香肠 单根50g 瘦肉块有嚼劲 哈尔滨特产齐名红肠 *24根 [整箱],[Ha meat joint] dried sausage single 50g lean meat chewy Harbin specialty red sausage * 24 [FCL]
3,79295853,天之缘 一次性双喜红地毯结婚地毯开业庆典门垫地毯婚庆红地毯 百年好合双喜红地毯（10米价格）,Red edge of the sky one-time double happiness red carpet wedding carpet opening ceremony carpet mats wedding red carpet century good double happiness red carpet (10 m price)
4,74142329,比瑞吉天然粮 狗粮 比熊室内成犬粮2kg,More than the natural grain food than St. Regis Bear indoor indoor dog food 2kg
5,73681478,雷米高宠物香肠牛肉鸡肉火腿肠狗狗猫咪零食幼犬泰迪比熊金毛训练食品 30根/袋 牛肉味,Remy high pet sausage beef chicken ham dog cat puppy snacks puppy Teddy Bears Golden Retriever training food 30 / bag beef flavor
6,94059728,徐福记 什锦糖果散装水果糖软硬糖结婚喜糖批发 多口味夹心棉花糖500g,Xu Fuji assorted candy bulk fruit candy soft and hard candy wedding candy wholesale multi-flavor sandwich cotton candy 500g
7,89061649,德芙（Dove） 德芙巧克力礼盒装结婚婚庆喜糖糖果送女朋友生日礼品商务回礼平安夜圣诞糖果 红色配送手提袋,Dove (Dove) Dove chocolate gift box wedding wedding candy send girlfriend birthday gift business gift Christmas Eve Christmas candy red delivery bag
8,93138735,【新年货】小米MIX2 全面屏游戏手机 6GB+64GB 黑色 全网通4G手机 双卡双待,[New Year] Millet MIX2 full screen game phone 6GB + 64GB Black Netcom 4G mobile phone dual sim dual standby
9,73681662,麦富迪宠物猫妙鲜封包幼猫湿粮猫咪零食 海洋鱼 12袋一盒,McDuffy pet cat wonderful package kitten wet food cat snacks snacks fish ocean 12 bags of a box
